Country,ISO4,Region,CPI Score 2021,CPI Rank 2021,Sources 2021,Standard Error 2021,HDI Rank 2020,HDI 2020
Saint Vincent and the Grenadines,VCT,AME,59,40,3,4.019743,97,0.738
Sao Tome and Principe,STP,SSA,47,63,4,5.058542,135,0.625
Saudi Arabia,SAU,MENA,53,52,7,5.361357,40,0.854
Senegal,SEN,SSA,45,67,9,1.328981,168,0.512
Serbia,SRB,ECA,38,94,8,1.659292,64,0.806
Seychelles,SYC,SSA,66,27,4,2.974329,67,0.796
Sierra Leone,SLE,SSA,33,117,8,2.420917,182,0.452
Singapore,SGP,AP,85,3,9,1.203239,11,0.938
Slovakia,SVK,WE/EU,49,60,9,2.691657,39,0.86
Slovenia,SVN,WE/EU,60,35,10,1.125235,22,0.917
Solomon Islands,SLB,AP,42,78,3,7.800267,151,0.567
Somalia,SOM,SSA,12,179,6,2.292273,,
South Africa,ZAF,SSA,44,69,8,2.167147,114,0.709
South Sudan,SSD,SSA,12,179,5,1.108644,185,0.433
Spain,ESP,WE/EU,62,32,8,2.009488,25,0.904
Sri Lanka,LKA,AP,38,94,8,1.169462,72,0.782
Sudan,SDN,SSA,16,174,7,2.14281,170,0.51
Suriname,SUR,AME,38,94,4,1.686898,97,0.738
Sweden,SWE,WE/EU,85,3,8,1.303953,7,0.945
Switzerland,CHE,WE/EU,85,3,7,1.096633,2,0.955
Syria,SYR,MENA,14,178,5,1.576392,151,0.567
Taiwan,TWN,AP,65,28,8,2.059654,,
Tajikistan,TJK,ECA,25,149,6,5.086641,125,0.668
Tanzania,TZA,SSA,38,94,9,0.8037881,163,0.529
Thailand,THA,AP,36,104,9,1.307877,79,0.777
Timor-Leste,TLS,AP,40,86,4,2.707735,141,0.606
Togo,TGO,SSA,29,134,7,1.750591,167,0.515
Trinidad and Tobago,TTO,AME,40,86,7,3.733581,67,0.796
Tunisia,TUN,MENA,44,69,7,2.827469,95,0.74
Turkey,TUR,ECA,40,86,9,2.055156,54,0.82
Turkmenistan,TKM,ECA,19,165,5,0.9122712,111,0.715
Uganda,UGA,SSA,27,142,9,1.153836,159,0.544
Ukraine,UKR,ECA,33,117,9,1.31305,74,0.779
United Arab Emirates,ARE,MENA,71,21,8,3.226185,31,0.89
United Kingdom,GBR,WE/EU,77,11,8,2.201047,13,0.932
United States,USA,AME,67,25,9,2.486317,17,0.926
Uruguay,URY,AME,71,21,7,1.723601,55,0.817
Uzbekistan,UZB,ECA,26,146,7,1.520405,106,0.72
Vanuatu,VUT,AP,43,75,3,3.587864,140,0.609
Venezuela,VEN,AME,15,176,8,0.9144296,113,0.711
Vietnam,VNM,AP,36,104,8,1.808218,117,0.704
Yemen,YEM,MENA,15,176,7,1.333599,179,0.47
Zambia,ZMB,SSA,33,117,9,0.9566052,146,0.584
Zimbabwe,ZWE,SSA,24,157,9,1.352586,150,0.571
